miRNA	Precursor	63aNF	65NF	53TF	63bTF	59TF	64NF	46TF	50NF	55TF	44TF	57NF	55NF	53NF	50TF	64TF	39TF	59NF	63aTF	39NF	63bNF	46NF	65TF	44NF	57TF
hsa-miR-648	hsa-mir-648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-649	hsa-mir-649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6499-5p	hsa-mir-6499	0	0	1	0	2	0	1	0	2	0	1	5	1	0	0	2	1	0	1	0	0	0	1	0
hsa-miR-6499-3p	hsa-mir-6499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-650	hsa-mir-650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6500-5p	hsa-mir-6500	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-6500-3p	hsa-mir-6500	20	42	5	6	12	13	5	38	7	13	65	21	45	22	9	18	48	0	41	25	32	11	2	345
hsa-miR-6501-5p	hsa-mir-6501	2	2	1	4	0	0	3	0	4	0	3	2	0	0	3	2	1	0	6	0	2	8	2	2
hsa-miR-6501-3p	hsa-mir-6501	0	1	0	2	0	0	0	0	1	1	2	1	1	1	0	2	0	0	3	0	0	1	0	2
hsa-miR-6502-5p	hsa-mir-6502	4	5	1	3	5	7	1	2	5	0	1	0	4	0	8	4	2	0	6	2	1	4	1	3
hsa-miR-6502-3p	hsa-mir-6502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6503-5p	hsa-mir-6503	3	2	17	9	16	12	3	1	24	14	1	5	2	13	27	23	2	0	2	3	1	19	2	20
hsa-miR-6503-3p	hsa-mir-6503	4	9	11	21	19	18	2	0	54	11	6	6	2	33	43	27	10	0	2	0	4	36	2	40
hsa-miR-6504-5p	hsa-mir-6504	0	0	2	1	1	1	2	0	8	2	0	0	1	5	6	6	1	0	0	1	0	2	0	2
hsa-miR-6504-3p	hsa-mir-6504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6505-5p	hsa-mir-6505	0	2	1	0	0	1	0	2	2	2	4	0	2	0	1	3	3	0	2	1	3	0	0	1
hsa-miR-6505-3p	hsa-mir-6505	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-6506-5p	hsa-mir-6506	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-6506-3p	hsa-mir-6506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6507-5p	hsa-mir-6507	0	0	0	0	0	3	0	3	0	1	6	2	0	0	0	0	3	1	0	0	1	1	8	2
hsa-miR-6507-3p	hsa-mir-6507	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0
hsa-miR-6508-5p	hsa-mir-6508	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-6508-3p	hsa-mir-6508	0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	3	0	0
hsa-miR-6509-5p	hsa-mir-6509	0	1	5	1	1	4	0	0	1	5	4	0	0	2	0	5	0	0	0	4	1	3	1	7
hsa-miR-6509-3p	hsa-mir-6509	0	1	1	0	0	1	0	0	4	0	0	0	2	0	1	1	1	0	3	1	1	1	1	5
hsa-miR-651-5p	hsa-mir-651	9	39	5	25	21	35	5	42	35	28	85	39	41	50	15	34	57	0	20	16	23	67	10	131
hsa-miR-651-3p	hsa-mir-651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6510-5p	hsa-mir-6510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6510-3p	hsa-mir-6510	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-6511a-5p	hsa-mir-6511a-1	1	1	1	0	3	2	0	1	2	0	0	1	3	2	1	2	0	0	1	1	0	0	0	2
hsa-miR-6511a-3p	hsa-mir-6511a-1	10	13	21	57	50	38	13	35	75	54	31	33	29	64	50	59	50	2	40	21	24	24	19	104
hsa-miR-6511b-5p	hsa-mir-6511a-1	1	1	1	0	4	6	2	3	4	2	2	1	3	5	1	6	0	0	5	5	2	4	0	3
hsa-miR-6511a-5p	hsa-mir-6511a-2	1	1	1	0	3	2	0	1	2	0	0	1	3	2	1	2	0	0	1	1	0	0	0	2
hsa-miR-6511a-3p	hsa-mir-6511a-2	10	13	21	57	50	38	13	35	75	54	31	33	29	64	50	59	50	2	40	21	24	24	19	104
hsa-miR-6511b-5p	hsa-mir-6511a-2	1	1	1	0	4	6	2	3	4	2	2	1	3	5	1	6	0	0	5	5	2	4	0	3
hsa-miR-6511a-5p	hsa-mir-6511a-3	1	1	1	0	3	2	0	1	2	0	0	1	3	2	1	2	0	0	1	1	0	0	0	2
hsa-miR-6511a-3p	hsa-mir-6511a-3	10	13	21	57	50	38	13	35	75	54	31	33	29	64	50	59	50	2	40	21	24	24	19	104
hsa-miR-6511b-5p	hsa-mir-6511a-3	1	1	1	0	4	6	2	3	4	2	2	1	3	5	1	6	0	0	5	5	2	4	0	3
hsa-miR-6511a-5p	hsa-mir-6511a-4	1	1	1	0	3	2	0	1	2	0	0	1	3	2	1	2	0	0	1	1	0	0	0	2
hsa-miR-6511a-3p	hsa-mir-6511a-4	10	13	21	57	50	38	13	35	75	54	31	33	29	64	50	59	50	2	40	21	24	24	19	104
hsa-miR-6511b-5p	hsa-mir-6511a-4	1	1	1	0	4	6	2	3	4	2	2	1	3	5	1	6	0	0	5	5	2	4	0	3
hsa-miR-6511a-5p	hsa-mir-6511b-1	1	1	1	0	3	2	0	1	2	0	0	1	3	2	1	2	0	0	1	1	0	0	0	2
hsa-miR-6511b-5p	hsa-mir-6511b-1	1	1	1	0	4	6	2	3	4	2	2	1	3	5	1	6	0	0	5	5	2	4	0	3
hsa-miR-6511b-3p	hsa-mir-6511b-1	21	17	20	49	56	19	9	29	26	27	39	12	35	40	18	53	26	1	26	23	10	12	22	87
hsa-miR-6511a-5p	hsa-mir-6511b-2	1	1	1	0	3	2	0	1	2	0	0	1	3	2	1	2	0	0	1	1	0	0	0	2
hsa-miR-6511b-5p	hsa-mir-6511b-2	1	1	1	0	4	6	2	3	4	2	2	1	3	5	1	6	0	0	5	5	2	4	0	3
hsa-miR-6511b-3p	hsa-mir-6511b-2	20	16	19	46	52	16	9	25	20	27	37	10	28	35	15	47	23	1	22	22	10	11	19	73
hsa-miR-6512-5p	hsa-mir-6512	0	3	1	0	1	0	0	2	0	0	4	0	4	0	0	0	2	0	2	0	0	0	1	0
hsa-miR-6512-3p	hsa-mir-6512	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6513-5p	hsa-mir-6513	2	1	0	2	0	1	0	1	3	3	5	4	1	0	1	1	1	0	0	2	2	0	0	12
hsa-miR-6513-3p	hsa-mir-6513	0	0	2	5	2	6	0	3	6	3	0	1	3	6	5	9	3	2	1	3	1	9	2	11
hsa-miR-6514-5p	hsa-mir-6514	0	4	1	2	2	2	3	2	3	5	2	3	1	3	1	1	1	0	3	6	1	2	1	1
hsa-miR-6514-3p	hsa-mir-6514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6515-5p	hsa-mir-6515	2	2	2	0	0	1	0	0	0	0	2	0	4	0	0	0	1	0	1	1	0	0	0	0
hsa-miR-6515-3p	hsa-mir-6515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6516-5p	hsa-mir-6516	1	2	0	7	1	3	1	5	10	7	3	5	3	2	4	8	8	0	9	3	4	10	3	19
hsa-miR-6516-3p	hsa-mir-6516	6	19	6	16	15	19	0	10	15	9	12	3	13	13	10	11	19	0	24	11	4	38	4	33
hsa-miR-652-5p	hsa-mir-652	21	98	12	59	29	44	4	47	116	33	119	66	88	55	30	95	103	1	58	26	35	121	14	157
hsa-miR-652-3p	hsa-mir-652	212	705	268	502	255	662	76	490	897	266	915	494	822	350	696	636	735	20	721	316	320	692	217	837
hsa-miR-653-5p	hsa-mir-653	134	591	447	1005	188	447	419	251	1005	442	978	335	855	159	1036	148	1131	39	432	451	494	270	94	684
hsa-miR-653-3p	hsa-mir-653	9	52	16	65	11	32	18	19	49	23	70	30	67	10	55	9	95	3	40	27	34	12	6	53
hsa-miR-654-5p	hsa-mir-654	3	16	3	2	6	9	2	3	2	0	4	3	7	2	3	4	3	0	8	11	9	7	8	3
hsa-miR-654-3p	hsa-mir-654	486	976	136	203	429	723	88	272	284	131	883	638	638	79	266	388	556	59	586	1029	496	1146	198	373
hsa-miR-655-5p	hsa-mir-655	0	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-655-3p	hsa-mir-655	3	16	1	2	5	5	0	5	5	3	19	6	11	0	1	8	14	0	15	1	5	10	3	11
hsa-miR-656-5p	hsa-mir-656	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-656-3p	hsa-mir-656	12	21	1	6	12	19	2	12	10	8	25	11	17	3	3	13	21	0	30	21	16	28	4	22
hsa-miR-657	hsa-mir-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-658	hsa-mir-658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-659-5p	hsa-mir-659	7	18	9	16	7	21	1	5	14	15	25	15	21	17	16	21	13	0	7	11	7	39	7	41
hsa-miR-659-3p	hsa-mir-659	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-660-5p	hsa-mir-660	1640	8141	360	1009	826	6703	95	3364	1605	1367	11738	5846	8481	1344	823	1556	8285	60	5977	2632	3356	1695	899	4488
hsa-miR-660-3p	hsa-mir-660	16	44	1	9	4	35	1	18	10	11	72	29	53	11	5	4	55	2	50	16	26	4	9	21
hsa-miR-661	hsa-mir-661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-662	hsa-mir-662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-663a	hsa-mir-663a	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-663b	hsa-mir-663b	0	1	1	2	0	4	0	2	0	9	5	0	0	0	2	0	1	1	0	0	0	0	0	1
hsa-miR-664a-5p	hsa-mir-664a	20	50	20	36	35	53	7	67	56	49	123	59	108	39	28	40	85	0	78	42	40	41	30	108
hsa-miR-664a-3p	hsa-mir-664a	284	712	318	826	636	1308	74	990	1741	647	1723	772	1503	737	555	1207	1443	39	1396	581	538	837	508	2115
hsa-miR-664b-5p	hsa-mir-664b	0	2	0	1	3	4	0	5	4	3	5	1	7	3	3	4	3	0	6	1	4	4	0	13
hsa-miR-664b-3p	hsa-mir-664b	13	38	21	37	23	50	4	61	86	40	76	39	51	44	31	74	64	3	66	28	28	55	20	122
hsa-miR-665	hsa-mir-665	1	5	0	1	0	1	2	5	1	0	6	0	0	0	3	5	6	1	1	3	3	2	1	5
hsa-miR-668-5p	hsa-mir-668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-668-3p	hsa-mir-668	3	10	0	2	3	4	0	0	1	2	11	8	5	1	3	2	4	0	5	22	5	2	2	2
hsa-miR-670-5p	hsa-mir-670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-670-3p	hsa-mir-670	0	9	0	0	0	2	1	3	0	0	12	3	7	0	0	0	8	0	6	2	1	3	0	17
hsa-miR-671-5p	hsa-mir-671	20	31	27	34	31	32	5	23	60	25	74	37	46	26	37	73	65	1	66	24	18	87	11	76
hsa-miR-671-3p	hsa-mir-671	122	124	115	124	116	184	42	91	156	117	194	131	126	85	106	135	113	10	116	132	132	264	90	246
hsa-miR-6715a-3p	hsa-mir-6715a	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6715b-5p	hsa-mir-6715b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6715b-3p	hsa-mir-6715b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-5p	hsa-mir-6716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-3p	hsa-mir-6716	13	18	10	11	15	17	4	11	13	13	21	16	12	14	20	14	7	4	17	25	3	30	9	29
hsa-miR-6717-5p	hsa-mir-6717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
hsa-miR-6718-5p	hsa-mir-6718	0	0	0	2	0	0	0	0	1	3	1	0	0	0	0	1	0	0	1	0	0	2	0	0
hsa-miR-6719-3p	hsa-mir-6719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6720-5p	hsa-mir-6720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6720-3p	hsa-mir-6720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6721-5p	hsa-mir-6721	0	1	1	0	1	0	0	0	1	2	2	0	1	1	0	0	3	0	0	3	0	0	0	0
hsa-miR-6722-5p	hsa-mir-6722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6722-3p	hsa-mir-6722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6723-5p	hsa-mir-6723	9	51	0	0	3	44	0	43	1	1	47	26	74	0	7	1	77	0	66	17	11	5	12	8
hsa-miR-6724-5p	hsa-mir-6724-1	3	5	4	5	8	8	3	5	6	2	22	3	3	2	0	8	13	0	18	6	6	6	4	6
hsa-miR-6724-5p	hsa-mir-6724-2	3	5	4	5	8	8	3	5	6	2	22	3	3	2	0	8	13	0	18	6	6	6	4	6
hsa-miR-6724-5p	hsa-mir-6724-3	3	5	4	5	8	8	3	5	6	2	22	3	3	2	0	8	13	0	18	6	6	6	4	6
hsa-miR-6724-5p	hsa-mir-6724-4	3	5	4	5	8	8	3	5	6	2	22	3	3	2	0	8	13	0	18	6	6	6	4	6
hsa-miR-6726-5p	hsa-mir-6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6726-3p	hsa-mir-6726	0	0	0	0	0	0	0	0	1	1	2	1	0	0	1	0	2	0	1	0	1	1	0	1
hsa-miR-6727-5p	hsa-mir-6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
hsa-miR-6727-3p	hsa-mir-6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6728-5p	hsa-mir-6728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6728-3p	hsa-mir-6728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6729-5p	hsa-mir-6729	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6729-3p	hsa-mir-6729	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-6730-5p	hsa-mir-6730	0	0	0	1	0	0	1	0	0	0	4	2	0	0	0	1	0	0	2	3	0	0	0	0
hsa-miR-6730-3p	hsa-mir-6730	1	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	1	0	3	1	3	0	0	4
hsa-miR-6731-5p	hsa-mir-6731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6731-3p	hsa-mir-6731	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-6732-5p	hsa-mir-6732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6732-3p	hsa-mir-6732	0	0	1	1	0	1	0	1	0	1	0	0	2	3	4	2	1	0	0	2	1	0	0	3
hsa-miR-6733-5p	hsa-mir-6733	1	0	0	3	1	0	0	0	2	1	1	1	2	0	1	1	2	0	1	0	0	2	0	3
hsa-miR-6733-3p	hsa-mir-6733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
hsa-miR-6734-5p	hsa-mir-6734	0	0	0	0	1	1	0	0	2	0	1	3	3	1	0	1	2	0	4	0	2	0	0	5
hsa-miR-6734-3p	hsa-mir-6734	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6735-5p	hsa-mir-6735	3	0	3	2	0	0	0	0	0	0	5	2	2	5	1	0	3	0	5	2	1	0	2	8
hsa-miR-6735-3p	hsa-mir-6735	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6736-5p	hsa-mir-6736	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6736-3p	hsa-mir-6736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6737-5p	hsa-mir-6737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6737-3p	hsa-mir-6737	0	0	1	2	2	0	1	1	2	1	1	2	0	3	2	5	0	0	0	0	1	1	0	1
hsa-miR-6738-5p	hsa-mir-6738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6738-3p	hsa-mir-6738	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3
hsa-miR-6739-5p	hsa-mir-6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6739-3p	hsa-mir-6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-6740-5p	hsa-mir-6740	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2
hsa-miR-6740-3p	hsa-mir-6740	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6741-5p	hsa-mir-6741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6741-3p	hsa-mir-6741	5	5	3	2	1	1	0	2	2	7	2	4	0	3	5	2	3	0	1	6	4	1	0	0
hsa-miR-6742-5p	hsa-mir-6742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6742-3p	hsa-mir-6742	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-6743-5p	hsa-mir-6743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6743-3p	hsa-mir-6743	2	1	0	3	0	1	0	1	3	0	2	0	1	1	3	3	0	0	1	0	0	0	0	3
hsa-miR-6744-5p	hsa-mir-6744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6744-3p	hsa-mir-6744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6745	hsa-mir-6745	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6746-5p	hsa-mir-6746	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6746-3p	hsa-mir-6746	0	0	0	0	1	0	1	0	2	0	0	1	1	1	0	0	0	0	2	0	0	0	0	2
hsa-miR-6747-5p	hsa-mir-6747	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6747-3p	hsa-mir-6747	2	0	1	0	0	3	0	2	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	2
hsa-miR-6748-5p	hsa-mir-6748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-6748-3p	hsa-mir-6748	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1	1
hsa-miR-6749-5p	hsa-mir-6749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6749-3p	hsa-mir-6749	0	0	0	0	0	0	0	1	0	1	1	2	1	0	1	1	1	0	0	0	0	0	0	2
hsa-miR-675-5p	hsa-mir-675	0	1	0	0	3	10	0	7	4	0	5	1	5	0	0	4	0	2	1	0	1	0	6	1
hsa-miR-675-3p	hsa-mir-675	9	27	0	7	9	57	2	79	52	4	37	14	36	2	23	5	13	6	37	3	5	15	36	5
hsa-miR-6750-5p	hsa-mir-6750	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-6750-3p	hsa-mir-6750	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-6751-5p	hsa-mir-6751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6751-3p	hsa-mir-6751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6752-5p	hsa-mir-6752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6752-3p	hsa-mir-6752	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-5p	hsa-mir-6753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6753-3p	hsa-mir-6753	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6754-5p	hsa-mir-6754	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6754-3p	hsa-mir-6754	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	2	0	0	3
hsa-miR-6755-5p	hsa-mir-6755	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-6755-3p	hsa-mir-6755	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6756-5p	hsa-mir-6756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6756-3p	hsa-mir-6756	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
hsa-miR-6757-5p	hsa-mir-6757	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	2	0	0
hsa-miR-6757-3p	hsa-mir-6757	0	0	0	0	0	1	0	1	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	4
hsa-miR-6758-5p	hsa-mir-6758	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6758-3p	hsa-mir-6758	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
hsa-miR-6759-5p	hsa-mir-6759	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0
hsa-miR-6759-3p	hsa-mir-6759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-676-5p	hsa-mir-676	0	3	0	1	1	0	1	0	0	1	0	2	0	3	2	1	1	0	1	1	1	2	0	8
hsa-miR-676-3p	hsa-mir-676	6	11	0	16	6	7	2	12	13	7	26	10	15	8	7	8	17	0	12	9	7	4	3	59
hsa-miR-6760-5p	hsa-mir-6760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6760-3p	hsa-mir-6760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6761-5p	hsa-mir-6761	2	5	1	1	0	2	0	5	4	0	5	4	8	1	0	3	5	0	4	4	4	5	0	8
hsa-miR-6761-3p	hsa-mir-6761	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	1	2	0	1
hsa-miR-6762-5p	hsa-mir-6762	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-6762-3p	hsa-mir-6762	3	5	0	1	0	2	0	6	2	0	10	3	5	0	1	1	6	0	3	6	3	1	0	2
hsa-miR-6763-5p	hsa-mir-6763	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0
hsa-miR-6763-3p	hsa-mir-6763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
hsa-miR-6764-5p	hsa-mir-6764	0	0	0	1	0	0	0	1	1	0	3	0	0	0	1	0	1	0	0	0	0	1	0	1
hsa-miR-6764-3p	hsa-mir-6764	0	2	0	0	3	0	1	2	1	0	3	1	1	0	0	2	4	0	6	3	1	2	0	7
hsa-miR-6765-5p	hsa-mir-6765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6765-3p	hsa-mir-6765	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6766-5p	hsa-mir-6766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6766-3p	hsa-mir-6766	0	1	0	1	0	1	0	2	2	0	0	1	2	1	2	2	0	0	1	0	1	2	0	8
hsa-miR-6767-5p	hsa-mir-6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6767-3p	hsa-mir-6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6768-5p	hsa-mir-6768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6768-3p	hsa-mir-6768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
